YEAR,Start_Year,Home_Value,Source
2016,0,803005,zillow
2017,1,876923,zillow
2018,2,1000288,zillow
2019,3,982269,zillow
2020,4,1038742,zillow
2021,5,1150250,zillow
2022,6,1201968,zillow
2023,7,1162793,zillow
2024,8,1196149,zillow
